keywords,size
Python,50
Ruby,40
SQL,40
PL/SQL,40
XML,40
R,35
Java,30
Arduino,30
XPath,25
Play,20
MongoDB,20
Continuous Integration,20
Technical Support,20
Agile,15
C#,15
Jasper,15
Machine Learning,10
Neo4j,5
